664e9d24 17c 90 38   Note On Ab2 43
664eefe8 17c 90 3a   Note On(0-Off) Bb2

664eefea 17c 90 42   Note On(0-Off) F#3

664eeff1 17c 90 36   Note On(0-Off) F#2

664eeff3 17c 90 3d   Note On(0-Off) C#3
664ef080 17c 90 36   Note On F#2 103

664ef081 17c 90 3a   Note On Bb2 114

664ef082 17c 90 3d   Note On C#3 110

664ef084 17c 90 42   Note On F#3 94
664ef08d 17c 90 2c   Note On Ab1 100

664ef0c3 17c 90 27   Note On(0-Off) Eb1
664ef2c1 17c 90 3a   Note On(0-Off) Bb2

664ef2d4 17c 90 36   Note On(0-Off) F#2
664ef308 17c 90 3d   Note On(0-Off) C#3

664ef31b 17c 90 42   Note On(0-Off) F#3
664ef498 17c 90 38   Note On Ab2 51

664ef49a 17c 90 3f   Note On Eb3 35

664ef4ab 17c 90 44   Note On Ab3 61
664efa03 17c 90 44   Note On(0-Off) Ab3

664efa12 17c 90 3f   Note On(0-Off) Eb3

664efa13 17c 90 38   Note On(0-Off) Ab2
664efab8 17c 90 3f   Note On Eb3 94

664efac4 17c 90 38   Note On Ab2 82

664efac5 17c 90 44   Note On Ab3 68
664efc33 17c 90 44   Note On(0-Off) Ab3
664efc7d 17c 90 38   Note On(0-Off) Ab2

664efc93 17c 90 3f   Note On(0-Off) Eb3
664efcfd 17c 90 3f   Note On Eb3 66

664efd09 17c 90 42   Note On F#3 100
664efd19 17c 90 38   Note On Ab2 89
664efe17 17c 90 42   Note On(0-Off) F#3

664efe26 17c 90 38   Note On(0-Off) Ab2
664efe76 17c 90 3f   Note On(0-Off) Eb3
664efec2 17c 90 40   Note On E3 100

664efec9 17c 90 38   Note On Ab2 82
664f000d 17c 90 38   Note On(0-Off) Ab2

664f0012 17c 90 40   Note On(0-Off) E3
664f009f 17c 90 2c   Note On(0-Off) Ab1
664f00b6 17c 90 3f   Note On Eb3 86

664f00bb 17c 90 38   Note On Ab2 96

664f00cc 17c 90 25   Note On C#1 63
664f03e4 17c 90 3f   Note On(0-Off) Eb3

664f0411 17c 90 38   Note On(0-Off) Ab2
664f0529 17c 90 34   Note On E2 91

664f052a 17c 90 3d   Note On C#3 94

664f052b 17c 90 38   Note On Ab2 98
664f0937 17c 90 3d   Note On(0-Off) C#3
664f0a01 17c 90 38   Note On(0-Off) Ab2
664f0a64 17c 90 38   Note On Ab2 34
664f0abe 17c 90 38   Note On(0-Off) Ab2

664f0ada 17c 90 34   Note On(0-Off) E2
664f0b39 17c 90 34   Note On E2 69

664f0b3b 17c 90 38   Note On Ab2 100

664f0b3e 17c 90 40   Note On E3 96
664f0cfa 17c 90 40   Note On(0-Off) E3
664f0d51 17c 90 38   Note On(0-Off) Ab2

664f0d60 17c 90 34   Note On(0-Off) E2
664f0db8 17c 90 38   Note On Ab2 94

664f0dc6 17c 90 3f   Note On Eb3 73

664f0dc7 17c 90 34   Note On E2 89
664f0eb3 17c 90 34   Note On(0-Off) E2
664f0ecb 17c 90 3f   Note On(0-Off) Eb3

664f0ed6 17c 90 38   Note On(0-Off) Ab2
664f0f5a 17c 90 38   Note On Ab2 100

664f0f62 17c 90 34   Note On E2 96

664f0f65 17c 90 3d   Note On C#3 96
664f1109 17c 90 3d   Note On(0-Off) C#3

664f1128 17c 90 34   Note On(0-Off) E2

664f1131 17c 90 38   Note On(0-Off) Ab2
664f119f 17c 90 34   Note On E2 100

664f11a0 17c 90 38   Note On Ab2 102

664f11ab 17c 90 2a   Note On F#1 82
664f11b7 17c 90 25   Note On(0-Off) C#1
664f15a2 17c 90 34   Note On(0-Off) E2

664f15b5 17c 90 38   Note On(0-Off) Ab2
664f16ac 17c 90 3a   Note On Bb2 100

664f16ad 17c 90 3d   Note On C#3 102

664f16ae 17c 90 36   Note On F#2 103
664f1b1c 17c 90 36   Note On(0-Off) F#2

664f1b5d 17c 90 3a   Note On(0-Off) Bb2
664f1b84 17c 90 3d   Note On(0-Off) C#3
664f1c45 17c 90 36   Note On F#2 103
664f1f03 17c 90 42   Note On F#3 96
664f202a 17c 90 36   Note On(0-Off) F#2
664f2181 17c 90 40   Note On E3 91

664f219a 17c 90 42   Note On(0-Off) F#3
664f22f5 17c 90 3f   Note On Eb3 35
664f2359 17c 90 40   Note On(0-Off) E3
664f2543 17c 90 3f   Note On(0-Off) Eb3

664f2551 17c 90 3d   Note On C#3 107
664f2602 17c 90 23   Note On B0 54

664f2634 17c 90 2a   Note On(0-Off) F#1
664f294f 17c 90 3f   Note On Eb3 96
664f2975 17c 90 3d   Note On(0-Off) C#3
664f3289 17c 90 3f   Note On(0-Off) Eb3
664f352f 17c 90 47   Note On B3 77
664f3669 17c 90 46   Note On Bb3 98
664f36bd 17c 90 47   Note On(0-Off) B3
664f378f 17c 90 44   Note On Ab3 89
664f3817 17c 90 46   Note On(0-Off) Bb3
664f38ca 17c 90 42   Note On F#3 56
664f3909 17c 90 44   Note On(0-Off) Ab3
664f3a9b 17c 90 40   Note On E3 95
664f3ab3 17c 90 2c   Note On Ab1 94

664f3ac7 17c 90 42   Note On(0-Off) F#3

664f3ac9 17c 90 23   Note On(0-Off) B0
664f431a 17c 90 40   Note On(0-Off) E3
664f4392 17c 90 2c   Note On(0-Off) Ab1
664f6842 17c 90 40   Note On E3 94
664f6938 17c 90 40   Note On(0-Off) E3
664f6a3e 17c 90 40   Note On E3 96
664f7645 17c 90 40   Note On(0-Off) E3
664f8d8e 17c 90 3e   Note On D3 19

664f8dda 17c 90 3e   Note On(0-Off) D3
664f8e78 17c 90 3e   Note On D3 107

664f8e7d 17c 90 3f   Note On Eb3 114
664f8eeb 17c 90 3f   Note On(0-Off) Eb3
664f90fc 17c 90 3e   Note On(0-Off) D3
664f9160 17c 90 3e   Note On D3 102
664f924f 17c 90 3e   Note On(0-Off) D3
664fa267 17c 90 3f   Note On Eb3 98
664fa5f2 17c 90 3f   Note On(0-Off) Eb3
664fa66a 17c 90 3f   Note On Eb3 98
664fa752 17c 90 3f   Note On(0-Off) Eb3
664fb612 17c 90 40   Note On E3 94
664fb933 17c 90 40   Note On(0-Off) E3
664fb9bb 17c 90 40   Note On E3 82
664fc09a 17c 90 40   Note On(0-Off) E3
664fccd7 17c 90 24   Note On C1 116

664fccea 17c 90 37   Note On G2 82

664fccec 17c 90 40   Note On E3 103
664fcf30 17c 90 30   Note On C2 77
664fd029 17c 90 40   Note On(0-Off) E3

664fd02d 17c 90 37   Note On(0-Off) G2
664fd13d 17c 90 37   Note On G2 114
664fd20f 17c 90 24   Note On(0-Off) C1

664fd218 17c 90 30   Note On(0-Off) C2
664fd34a 17c 90 30   Note On C2 98
664fd3bd 17c 90 37   Note On(0-Off) G2
664fd438 17c 90 37   Note On G2 64
664fd4d6 17c 90 30   Note On(0-Off) C2

664fd4e7 17c 90 37   Note On(0-Off) G2
664fd567 17c 90 37   Note On G2 96

664fd56a 17c 90 3b   Note On B2 109

664fd56d 17c 90 3e   Note On D3 112

664fd575 17c 90 43   Note On G3 96

664fd576 17c 90 28   Note On E1 107
664fd8bc 17c 90 37   Note On(0-Off) G2

664fd8d0 17c 90 43   Note On(0-Off) G3

664fd8d5 17c 90 3e   Note On(0-Off) D3

664fd8dc 17c 90 3b   Note On(0-Off) B2
664fd982 17c 90 3e   Note On D3 109

664fd984 17c 90 3b   Note On B2 116

664fd986 17c 90 43   Note On G3 94

664fd987 17c 90 37   Note On G2 107
664fda8c 17c 90 3b   Note On(0-Off) B2
664fda95 17c 90 37   Note On(0-Off) G2

664fda98 17c 90 28   Note On(0-Off) E1

664fdac3 17c 90 3e   Note On(0-Off) D3

664fdacc 17c 90 43   Note On(0-Off) G3
664fdb7b 17c 90 3e   Note On D3 105

664fdb81 17c 90 43   Note On G3 82

664fdb83 17c 90 3b   Note On B2 86
664fdc4e 17c 90 3e   Note On(0-Off) D3

664fdc63 17c 90 43   Note On(0-Off) G3

664fdc65 17c 90 3b   Note On(0-Off) B2
664fdd7f 17c 90 39   Note On A2 107

664fdd89 17c 90 41   Note On F3 109

664fdd92 17c 90 29   Note On F1 96
664fe003 17c 90 39   Note On(0-Off) A2

664fe015 17c 90 41   Note On(0-Off) F3
664fe068 17c 90 39   Note On A2 105

664fe06d 17c 90 40   Note On E3 112
664fe0df 17c 90 29   Note On(0-Off) F1
664fe151 17c 90 29   Note On F1 94
664fe233 17c 90 39   Note On(0-Off) A2
664fe26e 17c 90 40   Note On(0-Off) E3

664fe28e 17c 90 39   Note On A2 110
664fe2f7 17c 90 29   Note On(0-Off) F1
664fe363 17c 90 29   Note On F1 103
664fe3b5 17c 90 39   Note On(0-Off) A2
664fe4b3 17c 90 29   Note On(0-Off) F1
664fe556 17c 90 37   Note On G2 102

664fe558 17c 90 3b   Note On B2 107

664fe559 17c 90 3e   Note On D3 103

664fe563 17c 90 2b   Note On G1 103
664fe79a 17c 90 37   Note On(0-Off) G2

664fe7e1 17c 90 3e   Note On(0-Off) D3
664fe7f4 17c 90 3b   Note On(0-Off) B2
664fe853 17c 90 37   Note On G2 105
664fe943 17c 90 43   Note On G3 103
664fe9cb 17c 90 37   Note On(0-Off) G2

664fe9df 17c 90 2b   Note On(0-Off) G1
664fea85 17c 90 41   Note On F3 63

664feabd 17c 90 43   Note On(0-Off) G3
664feb7c 17c 90 40   Note On E3 66
664febe4 17c 90 41   Note On(0-Off) F3
664fec9c 17c 90 3e   Note On D3 39

664fecb9 17c 90 40   Note On(0-Off) E3
664fed25 17c 90 3e   Note On(0-Off) D3
664fed5f 17c 90 24   Note On C1 109

664fed6d 17c 90 3e   Note On D3 109
664ff043 17c 90 40   Note On E3 107

664ff05a 17c 90 3e   Note On(0-Off) D3
664ff09b 17c 90 24   Note On(0-Off) C1
664ff11a 17c 90 40   Note On(0-Off) E3
664ff14d 17c 90 30   Note On C2 94
664ff312 17c 90 30   Note On(0-Off) C2
664ff370 17c 90 37   Note On G2 95
664ff474 17c 90 37   Note On(0-Off) G2
664ff572 17c 90 43   Note On G3 91

664ff575 17c 90 37   Note On G2 94

664ff581 17c 90 28   Note On E1 71
664ff7a1 17c 90 43   Note On(0-Off) G3

664ff7c9 17c 90 37   Note On(0-Off) G2

664ff7db 17c 90 28   Note On(0-Off) E1
664ff851 17c 90 37   Note On G2 95

664ff854 17c 90 41   Note On F3 94
664ff941 17c 90 34   Note On E2 103
664ffa1c 17c 90 41   Note On(0-Off) F3

664ffa39 17c 90 37   Note On(0-Off) G2
664ffa78 17c 90 37   Note On G2 86

664ffa7d 17c 90 40   Note On E3 105

664ffac5 17c 90 34   Note On(0-Off) E2
664ffb40 17c 90 34   Note On E2 105
664ffb5a 17c 90 40   Note On(0-Off) E3

664ffb73 17c 90 37   Note On(0-Off) G2
664ffc0e 17c 90 34   Note On(0-Off) E2
664ffd78 17c 90 35   Note On F2 98

664ffd7c 17c 90 39   Note On A2 98

664ffd83 17c 90 29   Note On F1 102
66500053 17c 90 29   Note On(0-Off) F1
665001b8 17c 90 30   Note On C2 89
665001be 17c 90 32   Note On D2 96
66500273 17c 90 39   Note On(0-Off) A2

6650027a 17c 90 35   Note On(0-Off) F2
665002e3 17c 90 35   Note On F2 61
665003cf 17c 90 32   Note On(0-Off) D2
665003db 17c 90 37   Note On G2 94

665003f3 17c 90 30   Note On(0-Off) C2
66500517 17c 90 39   Note On A2 95
6650059e 17c 90 35   Note On(0-Off) F2

665005a1 17c 90 37   Note On(0-Off) G2

665005b2 17c 90 39   Note On(0-Off) A2
665005ef 17c 90 39   Note On A2 98

665005f3 17c 90 2b   Note On G1 100

665005f5 17c 90 35   Note On F2 103
665006ef 17c 90 35   Note On(0-Off) F2

665006f9 17c 90 2b   Note On(0-Off) G1

6650071a 17c 90 39   Note On(0-Off) A2
6650091b 17c 90 35   Note On F2 95

6650091c 17c 90 3e   Note On D3 107

6650091d 17c 90 38   Note On Ab2 100

6650091f 17c 90 3b   Note On B2 107
66500933 17c 90 2c   Note On Ab1 105
66500cf1 17c 90 35   Note On(0-Off) F2
66500d33 17c 90 38   Note On(0-Off) Ab2

66500d39 17c 90 3b   Note On(0-Off) B2

66500d4c 17c 90 3e   Note On(0-Off) D3

66500d86 17c 90 2c   Note On(0-Off) Ab1
66500dc9 17c 90 35   Note On F2 43
66500e53 17c 90 35   Note On(0-Off) F2
66500ec3 17c 90 38   Note On Ab2 110

66500ec4 17c 90 40   Note On E3 110

66500ec6 17c 90 35   Note On F2 105

66500ec7 17c 90 2d   Note On A1 102
6650111e 17c 90 40   Note On(0-Off) E3
66501160 17c 90 38   Note On(0-Off) Ab2

66501164 17c 90 35   Note On(0-Off) F2
665011c4 17c 90 2d   Note On(0-Off) A1

66501206 17c 90 38   Note On Ab2 100

6650120c 17c 90 35   Note On F2 94

6650120d 17c 90 3e   Note On D3 109
66501215 17c 90 2d   Note On A1 102
6650142f 17c 90 35   Note On(0-Off) F2

6650144a 17c 90 3e   Note On(0-Off) D3

6650144c 17c 90 38   Note On(0-Off) Ab2

6650144e 17c 90 2d   Note On(0-Off) A1
665014b9 17c 90 2b   Note On G1 96

665014be 17c 90 38   Note On Ab2 94

665014c3 17c 90 35   Note On F2 96
665015c8 17c 90 38   Note On(0-Off) Ab2
6650162d 17c 90 35   Note On(0-Off) F2

66501643 17c 90 2b   Note On(0-Off) G1
6650176b 17c 90 37   Note On G2 100

6650176c 17c 90 34   Note On E2 98

66501779 17c 90 28   Note On E1 103
66501950 17c 90 34   Note On(0-Off) E2

66501972 17c 90 37   Note On(0-Off) G2
665019e7 17c 90 28   Note On(0-Off) E1
66501b6f 17c 90 34   Note On E2 107
66501c3f 17c 90 37   Note On G2 75
66501d50 17c 90 37   Note On(0-Off) G2
66501e6b 17c 90 34   Note On(0-Off) E2
66501ebc 17c 90 37   Note On G2 100

66501ec6 17c 90 43   Note On G3 103
66501fbc 17c 90 37   Note On(0-Off) G2
66502018 17c 90 37   Note On G2 82

66502022 17c 90 40   Note On E3 102

66502022 17c 90 41   Note On F3 107

6650204f 17c 90 43   Note On(0-Off) G3
6650211d 17c 90 2d   Note On A1 107
6650217a 17c 90 41   Note On(0-Off) F3
665021c9 17c 90 40   Note On(0-Off) E3

66502222 17c 90 37   Note On(0-Off) G2
665022ae 17c 90 40   Note On E3 43

665022b8 17c 90 37   Note On G2 82
66502351 17c 90 37   Note On(0-Off) G2
665023a0 17c 90 37   Note On G2 71

665023ab 17c 90 40   Note On(0-Off) E3
6650240c 17c 90 2d   Note On(0-Off) A1
66502465 17c 90 37   Note On(0-Off) G2
66502529 17c 90 3e   Note On D3 107

6650252b 17c 90 3b   Note On B2 107

6650252d 17c 90 2d   Note On A1 102

6650252e 17c 90 37   Note On G2 105
66502722 17c 90 2d   Note On(0-Off) A1

66502723 17c 90 3b   Note On(0-Off) B2

66502753 17c 90 37   Note On(0-Off) G2

6650275c 17c 90 3e   Note On(0-Off) D3
66502949 17c 90 37   Note On G2 98

6650294d 17c 90 3a   Note On Bb2 94

6650294e 17c 90 2e   Note On Bb1 103

6650294f 17c 90 40   Note On E3 96

66502951 17c 90 3d   Note On C#3 103
66502ac3 17c 90 37   Note On(0-Off) G2

66502acd 17c 90 2e   Note On(0-Off) Bb1
66502b31 17c 90 40   Note On(0-Off) E3

66502b37 17c 90 2b   Note On G1 58
66502bad 17c 90 3d   Note On(0-Off) C#3

66502bad 17c 90 3a   Note On(0-Off) Bb2

66502bb9 17c 90 37   Note On G2 100
66502c16 17c 90 2e   Note On Bb1 61

66502c37 17c 90 3a   Note On Bb2 91

66502c53 17c 90 2b   Note On(0-Off) G1
66502c8d 17c 90 37   Note On(0-Off) G2

66502cb4 17c 90 3d   Note On C#3 116

66502cd8 17c 90 31   Note On C#2 94
66502cfb 17c 90 3a   Note On(0-Off) Bb2
66502d4f 17c 90 2e   Note On(0-Off) Bb1

66502d77 17c 90 3d   Note On(0-Off) C#3

66502d82 17c 90 40   Note On E3 63

66502db4 17c 90 35   Note On F2 112
66502dc0 17c 90 31   Note On(0-Off) C#2

66502dd0 17c 90 40   Note On(0-Off) E3
66502e36 17c 90 35   Note On(0-Off) F2

66502e49 17c 90 45   Note On A3 114
66502ee7 17c 90 48   Note On C4 64

66502eea 17c 90 47   Note On B3 96
66502f00 17c 90 45   Note On(0-Off) A3

66502f56 17c 90 4a   Note On D4 107
66502f7a 17c 90 47   Note On(0-Off) B3

66502f7c 17c 90 48   Note On(0-Off) C4
6650300a 17c 90 4a   Note On(0-Off) D4

6650300e 17c 90 4f   Note On G4 79
66503061 17c 90 4f   Note On(0-Off) G4
665030be 17c 90 51   Note On A4 82

66503143 17c 90 51   Note On(0-Off) A4
66503160 17c 90 53   Note On B4 20

665031c3 17c 90 54   Note On C5 75
66503256 17c 90 56   Note On D5 114

6650328f 17c 90 53   Note On(0-Off) B4
665032b5 17c 90 26   Note On D1 103

665032d6 17c 90 54   Note On(0-Off) C5

66503302 17c 90 58   Note On E5 109
66503361 17c 90 56   Note On(0-Off) D5
66503494 17c 90 2d   Note On A1 94
665034f9 17c 90 26   Note On(0-Off) D1
665035f0 17c 90 2d   Note On(0-Off) A1

665035f2 17c 90 56   Note On D5 112

665035f4 17c 90 32   Note On D2 103

66503614 17c 90 58   Note On(0-Off) E5
66503748 17c 90 56   Note On(0-Off) D5

6650374e 17c 90 54   Note On C5 98

6650374f 17c 90 34   Note On E2 109

66503755 17c 90 32   Note On(0-Off) D2
66503b18 17c 90 34   Note On(0-Off) E2
66503db9 17c 90 54   Note On(0-Off) C5
66503de2 17c 90 2b   Note On G1 69

66503df3 17c 90 58   Note On E5 109
66503fff 17c 90 2b   Note On(0-Off) G1
66504063 17c 90 56   Note On D5 107

66504074 17c 90 58   Note On(0-Off) E5
665041c0 17c 90 54   Note On C5 96
665041da 17c 90 56   Note On(0-Off) D5
6650457e 17c 90 54   Note On(0-Off) C5

66504588 17c 90 56   Note On D5 118
665047ee 17c 90 24   Note On C1 109

66504803 17c 90 54   Note On C5 107

66504823 17c 90 56   Note On(0-Off) D5
665048fd 17c 90 2b   Note On G1 60
66504924 17c 90 24   Note On(0-Off) C1
66504994 17c 90 2b   Note On(0-Off) G1

6650499e 17c 90 54   Note On(0-Off) C5

665049bc 17c 90 30   Note On C2 91
66504a5f 17c 90 30   Note On(0-Off) C2

66504a8f 17c 90 32   Note On D2 109
66504b77 17c 90 34   Note On E2 86
66504bbc 17c 90 32   Note On(0-Off) D2
66504c4c 17c 90 37   Note On G2 95

66504c5b 17c 90 34   Note On(0-Off) E2
66504d4e 17c 90 48   Note On C4 69
66504d9b 17c 90 37   Note On(0-Off) G2
66504e45 17c 90 4c   Note On E4 95
66504f18 17c 90 4f   Note On G4 96
66504fdb 17c 90 4c   Note On(0-Off) E4

66504ff8 17c 90 54   Note On C5 100
66505071 17c 90 4f   Note On(0-Off) G4

66505093 17c 90 48   Note On(0-Off) C4
66505130 17c 90 4f   Note On G4 91
6650513d 17c 90 51   Note On A4 58

66505199 17c 90 54   Note On(0-Off) C5
665051ef 17c 90 51   Note On(0-Off) A4

66505214 17c 90 4c   Note On E4 75
6650527f 17c 90 4f   Note On(0-Off) G4
665052ca 17c 90 4c   Note On(0-Off) E4
6650531b 17c 90 54   Note On C5 86

6650531d 17c 90 4f   Note On G4 86

66505323 17c 90 2b   Note On G1 91

66505328 17c 90 4c   Note On E4 79

66505352 17c 90 48   Note On C4 52
665053b3 17c 90 48   Note On(0-Off) C4
6650552f 17c 90 4c   Note On(0-Off) E4

66505535 17c 90 54   Note On(0-Off) C5
665055ef 17c 90 53   Note On B4 100

665055f4 17c 90 48   Note On C4 61

665055fb 17c 90 4c   Note On E4 105

66505602 17c 90 2b   Note On(0-Off) G1
665056bb 17c 90 4c   Note On(0-Off) E4
665056fa 17c 90 53   Note On(0-Off) B4
665057b3 17c 90 48   Note On(0-Off) C4

665057bf 17c 90 4f   Note On(0-Off) G4
665058b4 17c 90 51   Note On A4 105

665058b8 17c 90 32   Note On D2 94

665058bb 17c 90 48   Note On C4 71

665058bf 17c 90 4c   Note On E4 91
66505b6e 17c 90 4f   Note On G4 100
66505bc5 17c 90 51   Note On(0-Off) A4

66505bd2 17c 90 48   Note On(0-Off) C4

66505bfd 17c 90 4c   Note On(0-Off) E4

66505c03 17c 90 32   Note On(0-Off) D2

66505c08 17c 90 4f   Note On(0-Off) G4
66505ce0 17c 90 32   Note On D2 69
66505d5a 17c 90 32   Note On(0-Off) D2
66505e4d 17c 90 26   Note On D1 89

66505e4e 17c 90 47   Note On B3 102

66505e4f 17c 90 24   Note On C1 116

66505e50 17c 90 4a   Note On D4 107
66505ea8 17c 90 24   Note On(0-Off) C1
66505f1b 17c 90 26   Note On(0-Off) D1
66505f80 17c 90 24   Note On C1 112
665060f7 17c 90 4a   Note On(0-Off) D4

66506105 17c 90 47   Note On(0-Off) B3
66506179 17c 90 24   Note On(0-Off) C1
66506273 17c 90 30   Note On C2 94

66506275 17c 90 32   Note On D2 102

66506283 17c 90 4c   Note On E4 107

66506286 17c 90 48   Note On C4 103

66506289 17c 90 43   Note On G3 91
665062cc 17c 90 32   Note On(0-Off) D2
665064c6 17c 90 43   Note On(0-Off) G3

665064e9 17c 90 48   Note On(0-Off) C4

665064f3 17c 90 4c   Note On(0-Off) E4

6650651a 17c 90 30   Note On(0-Off) C2

6650651c 17c 90 43   Note On G3 96
665065ff 17c 90 30   Note On C2 96
66506705 17c 90 43   Note On(0-Off) G3
66506793 17c 90 30   Note On(0-Off) C2
665067c6 17c 90 43   Note On G3 73
66506835 17c 90 30   Note On C2 62
665068d5 17c 90 28   Note On E1 100

665068d6 17c 90 4a   Note On D4 103

665068d7 17c 90 47   Note On B3 109
665068f9 17c 90 30   Note On(0-Off) C2
66506a49 17c 90 47   Note On(0-Off) B3
66506be3 17c 90 43   Note On(0-Off) G3

66506bf1 17c 90 28   Note On(0-Off) E1

66506c0b 17c 90 4a   Note On(0-Off) D4
66506ccc 17c 90 43   Note On G3 89

66506ccd 17c 90 4c   Note On E4 102

66506ccf 17c 90 48   Note On C4 66

66506cd0 17c 90 34   Note On E2 77
66506eda 17c 90 34   Note On(0-Off) E2
66507007 17c 90 43   Note On(0-Off) G3
6650709a 17c 90 4c   Note On(0-Off) E4

6650709d 17c 90 48   Note On(0-Off) C4
38bb293b 90 48 40   Note On C4 64
38bb2a76 90 48 00   Note On(0-Off) C4
38bb2ad4 90 4a 5b   Note On D4 91
38bb2bd4 90 4a 00   Note On(0-Off) D4
38bb2c77 90 4c 66   Note On E4 102
38bb2d35 90 4c 00   Note On(0-Off) E4
38bb2dfa 90 4d 6b   Note On F4 107
38bb3201 90 4d 00   Note On(0-Off) F4
38bb3e77 90 37 44   Note On G2 68

38bb3e7b 90 3b 64   Note On B2 100

38bb3e7c 90 24 7e   Note On C1 126

